"Sample ID","Sample top depth (m)","Sample bottom depth (m)","Sample Top Date (BP 1950)","Sample Bottom Date (BP 1950)","Mid Depth Date","Cl (µEq/L)","NO3 (µEq/L)","SO4 (µEq/L)","Na (µEq/L)","Mg (µEq/L)","nssSO4 (µEq/L)"
"DSSp1617A-1_9",0.255,0.3,-66.981,-66.953,-66.967,3.967,0.427,1.572,3.332,0.679,1.281
"DSSp1617A-1_10",0.3,0.35,-66.953,-66.922,-66.938,2.856,0.421,0.871,2.396,0.385,0.662
"DSSp1617A-1_11",0.35,0.4,-66.922,-66.89,-66.906,5.738,0.303,0.927,4.763,0.872,0.512
"DSSp1617A-1_12",0.4,0.45,-66.89,-66.859,-66.875,3.604,0.26,0.573,3.162,0.577,0.297
"DSSp1617A-1_13",0.45,0.5,-66.859,-66.828,-66.844,5.034,0.211,0.501,4.542,0.859,0.105
"DSSp1617A-1_14",0.5,0.54,-66.828,-66.803,-66.816,4.516,0.189,0.451,3.832,0.72,0.117
"DSSp1617A-1_15",0.55,0.61,-66.796,-66.759,-66.778,4.388,0.211,0.409,3.264,0.618,0.124
"DSSp1617A-1_16",0.62,0.67,-66.752,-66.721,-66.737,3.469,0.231,0.347,3.007,0.528,0.085
"DSSp1617A-1_17",0.67,0.72,-66.721,-66.69,-66.706,4.868,0.209,0.531,4.339,0.775,0.154
"DSSp1617A-1_18",0.72,0.77,-66.69,-66.658,-66.674,20.611,0.145,2.284,18.342,3.617,0.686
"DSSp1617A-1_19",0.77,0.82,-66.658,-66.627,-66.643,8.34,0.173,0.893,7.22,1.441,0.264
"DSSp1617A-1_20",0.82,0.87,-66.627,-66.596,-66.612,7.832,0.192,0.764,7.412,1.478,0.119
"DSSp1617A-1_21",0.87,0.92,-66.596,-66.564,-66.58,12.857,0.288,1.248,11.12,2.278,0.28
"DSSp1617A-1_22",0.92,0.97,-66.564,-66.533,-66.549,17.563,0.335,1.73,15.099,3.178,0.415
"DSSp1617A-2_4",1,1.05,-66.514,-66.483,-66.499,10.496,0.645,1.41,9.111,1.846,0.617
"DSSp1617A-2_5",1.05,1.1,-66.483,-66.451,-66.467,3.895,0.388,0.408,3.282,0.624,0.122
"DSSp1617A-2_6",1.1,1.15,-66.451,-66.42,-66.436,2.541,0.334,0.386,2.149,0.416,0.199
"DSSp1617A-2_7",1.15,1.2,-66.42,-66.389,-66.405,2.352,0.159,0.35,2.095,0.391,0.168
"DSSp1617A-2_8",1.2,1.24,-66.389,-66.364,-66.377,1.399,0.155,0.247,1.216,0.233,0.142
"DSSp1617A-2_9",1.25,1.3,-66.357,-66.326,-66.342,0.132,0.068,0.12,0.197,0.067,0.103
"DSSp1617-2_11",1.35,1.41,-66.352,-66.317,-66.335,0.221,0.08,0.123,0.281,0.081,0.098
"DSSp1617-2_12",1.425,1.47,-66.309,-66.283,-66.296,0.207,0.095,0.089,0.25,0.077,0.067
"DSSp1617-2_13",1.47,1.52,-66.283,-66.254,-66.268,1.258,0.128,0.162,1.112,0.208,0.065
"DSSp1617-2_14",1.52,1.57,-66.254,-66.225,-66.239,1.984,0.215,0.436,1.706,0.319,0.287
"DSSp1617-2_15",1.57,1.62,-66.225,-66.196,-66.211,4.944,0.251,0.921,4.074,0.767,0.566
"DSSp1617-2_16",1.62,1.67,-66.196,-66.168,-66.182,4.175,0.131,0.781,3.866,0.726,0.444
"DSSp1617-2_17",1.67,1.72,-66.168,-66.139,-66.153,9.273,0.127,1.359,8.302,1.586,0.636
"DSSp1617-2_18",1.72,1.76,-66.139,-66.116,-66.128,3.3,0.181,0.771,2.918,0.557,0.517
"DSSp1617-2_19",1.78,1.83,-66.104,-66.075,-66.09,2.813,0.342,0.988,2.414,0.449,0.777
"DSSp1617-2_20",1.83,1.88,-66.075,-66.047,-66.061,2.236,0.537,1.103,1.869,0.324,0.941
"DSSp1617-2_21",1.88,1.92,-66.047,-66.024,-66.036,1.83,1.141,1.27,1.136,0.211,1.171
"DSSp1617-2_22",1.92,1.96,-66.024,-66.001,-66.013,1.109,0.644,1.42,0.618,0.134,1.366
"DSSp1617-2_23",1.96,1.995,-66.001,-65.976,-65.989,0.347,0.404,0.84,0.254,0.082,0.818
"DSSp1617-3_4",2,2.05,-65.972,-65.936,-65.954,2.435,0.55,1.15,1.924,0.359,0.982
"DSSp1617-3_5",2.05,2.1,-65.936,-65.9,-65.918,2.116,0.633,1.228,1.551,0.276,1.093
"DSSp1617-3_6",2.1,2.15,-65.9,-65.865,-65.883,3.057,0.727,1.346,2.304,0.419,1.145
"DSSp1617-3_7",2.15,2.205,-65.865,-65.825,-65.845,6.205,0.308,0.992,5.254,0.981,0.535
"DSSp1617-3_8",2.215,2.25,-65.818,-65.793,-65.806,8.661,0.088,0.756,7.245,1.475,0.125
"DSSp1617-3_9",2.25,2.3,-65.793,-65.757,-65.775,8.236,0.147,0.724,6.894,1.354,0.123
"DSSp1617-3_10",2.3,2.35,-65.757,-65.721,-65.739,6.882,0.19,0.793,5.9,1.088,0.279
"DSSp1617-3_11",2.35,2.4,-65.721,-65.685,-65.703,8.137,0.157,0.869,7.213,1.354,0.241
"DSSp1617-3_12",2.4,2.45,-65.685,-65.649,-65.667,7.147,0.176,0.79,6.322,1.215,0.24
"DSSp1617-3_13",2.45,2.5,-65.649,-65.614,-65.632,10.911,0.168,1.223,9.927,1.735,0.359
"DSSp1617-3_14",2.5,2.55,-65.614,-65.578,-65.596,4.418,0.198,0.357,3.606,0.725,0.043
"DSSp1617-3_15",2.55,2.59,-65.578,-65.549,-65.564,2.652,0.227,0.362,2.232,0.419,0.167
"DSSp1617-3_16",2.59,2.63,-65.549,-65.52,-65.535,3.002,0.249,0.432,2.56,0.487,0.209
"DSSp1617-3_17",2.63,2.675,-65.52,-65.488,-65.504,1.394,0.402,0.398,1.209,0.243,0.293
"DSSp1617-3_18",2.69,2.74,-65.477,-65.442,-65.46,4.212,0.396,0.431,3.506,0.639,0.125
"DSSp1617-3_19",2.74,2.79,-65.442,-65.406,-65.424,4.715,0.318,0.375,3.935,0.761,0.032
"DSSp1617-3_20",2.79,2.84,-65.406,-65.37,-65.388,4.649,0.348,0.671,3.869,0.756,0.334
"DSSp1617-3_21",2.84,2.89,-65.37,-65.334,-65.352,4.248,0.361,0.837,3.597,0.685,0.523
"DSSp1617-3_22",2.89,2.94,-65.334,-65.298,-65.316,3.061,0.365,0.458,2.687,0.519,0.224
"DSSp1617-3_23",2.94,2.99,-65.298,-65.262,-65.28,3.815,0.454,0.886,3.206,0.63,0.607
"DSSp1617-3_24",2.99,3.04,-65.262,-65.227,-65.245,0.566,0.3,0.474,0.486,0.098,0.432
"DSSp1617-4_4",3.05,3.1,-65.219,-65.184,-65.202,2.711,0.24,0.968,2.319,0.428,0.766
"DSSp1617-4_5",3.1,3.15,-65.184,-65.148,-65.166,0.737,0.237,0.566,0.665,0.14,0.508
"DSSp1617-4_6",3.15,3.2,-65.148,-65.112,-65.13,0.489,0.102,0.362,0.491,0.103,0.32
"DSSp1617-4_7",3.2,3.25,-65.112,-65.076,-65.094,2.009,0.187,0.83,1.752,0.331,0.677
"DSSp1617-4_8",3.25,3.3,-65.076,-65.04,-65.058,0.435,0.517,0.638,0.435,0.238,0.6
"DSSp1617-4_9",3.3,3.35,-65.04,-65.004,-65.022,0.473,0.421,0.506,0.356,0.082,0.475
"DSSp1617-4_10",3.35,3.4,-65.004,-64.965,-64.985,0.581,0.504,0.604,0.365,0.092,0.572
"DSSp1617-4_11",3.4,3.44,-64.965,-64.933,-64.949,2.59,0.347,0.985,2.131,0.374,0.8
"DSSp1617-4_12",3.44,3.48,-64.933,-64.901,-64.917,2.925,0.227,1.045,2.442,0.438,0.832
"DSSp1617-4_13",3.48,3.525,-64.901,-64.865,-64.883,2.208,0.364,0.797,1.891,0.338,0.632
"DSSp1617-4_14",3.545,3.59,-64.849,-64.813,-64.831,1.793,0.686,0.748,1.39,0.252,0.627
"DSSp1617-4_15",3.59,3.64,-64.813,-64.773,-64.793,1.061,0.661,0.683,0.756,0.137,0.617
"DSSp1617-4_16",3.64,3.69,-64.773,-64.733,-64.753,2.148,0.261,0.571,1.829,0.329,0.412
"DSSp1617-4_17",3.69,3.74,-64.733,-64.693,-64.713,6.288,0.16,0.72,5.488,0.835,0.242
"DSSp1617-4_18",3.74,3.79,-64.693,-64.653,-64.673,6.17,0.181,0.687,5.33,0.873,0.222
"DSSp1617-4_19",3.79,3.84,-64.653,-64.613,-64.633,5.988,0.217,0.693,5.23,0.905,0.237
"DSSp1617-4_20",3.84,3.89,-64.613,-64.573,-64.593,4.561,0.206,0.442,3.86,0.668,0.106
"DSSp1617-4_21",3.89,3.94,-64.573,-64.534,-64.554,4.906,0.213,0.474,4.324,0.783,0.098
"DSSp1617-4_22",3.94,3.99,-64.534,-64.494,-64.514,4.745,0.198,0.453,4.202,0.728,0.087
"DSSp1617-4_23",3.99,4.05,-64.494,-64.446,-64.47,5.225,0.207,0.483,4.661,0.711,0.077
"DSSp1617-5_4",4.06,4.11,-64.438,-64.398,-64.418,2.498,0.15,0.536,2.186,0.432,0.345
"DSSp1617-5_5",4.11,4.16,-64.398,-64.358,-64.378,3.012,0.139,0.649,2.6,0.488,0.423
"DSSp1617-5_6",4.16,4.21,-64.358,-64.318,-64.338,1.043,0.263,0.592,0.906,0.173,0.513
"DSSp1617-5_7",4.21,4.26,-64.318,-64.278,-64.298,0.617,0.38,0.426,0.548,0.119,0.378
"DSSp1617-5_8",4.26,4.3,-64.278,-64.246,-64.262,1.075,0.385,0.453,0.925,0.184,0.372
"DSSp1617-5_9",4.3,4.34,-64.246,-64.214,-64.23,1.342,0.442,0.502,1.124,0.199,0.404
"DSSp1617-5_10",4.355,4.4,-64.202,-64.166,-64.184,0.953,0.379,0.52,0.837,0.168,0.448
"DSSp1617-5_11",4.4,4.45,-64.166,-64.126,-64.146,0.521,0.207,0.482,0.47,0.11,0.441
"DSSp1617-5_12",4.45,4.5,-64.126,-64.086,-64.106,0.709,0.352,0.625,0.579,0.113,0.574
"DSSp1617-5_13",4.5,4.55,-64.086,-64.046,-64.066,0.687,0.284,0.969,0.645,0.124,0.913
"DSSp1617-5_14",4.55,4.59,-64.046,-64.014,-64.03,0.342,0.32,1.458,0.289,0.081,1.433
"DSSp1617-5_15",4.59,4.63,-64.014,-63.982,-63.998,0.206,0.399,1.579,0.18,0.064,1.564
"DSSp1617-5_16",4.63,4.67,-63.982,-63.949,-63.966,1.154,0.437,1.631,0.95,0.187,1.548
"DSSp1617-5_17",4.685,4.73,-63.937,-63.9,-63.919,3.186,0.683,0.851,2.631,0.495,0.622
"DSSp1617-5_18",4.73,4.78,-63.9,-63.86,-63.88,4.332,0.327,0.736,3.609,0.659,0.422
"DSSp1617-5_19",4.78,4.83,-63.86,-63.819,-63.84,4.126,0.285,0.66,3.677,0.657,0.34
"DSSp1617-5_20",4.83,4.88,-63.819,-63.778,-63.799,2.058,0.348,0.346,1.798,0.322,0.189
"DSSp1617-5_21",4.88,4.93,-63.778,-63.737,-63.758,1.123,0.506,0.268,0.983,0.231,0.183
"DSSp1617-5_22",4.93,4.97,-63.737,-63.705,-63.721,2.062,0.321,0.337,1.752,0.334,0.184
"DSSp1617-6_4",5,5.05,-63.68,-63.639,-63.66,5.542,0.279,0.386,4.295,0.913,0.011
"DSSp1617-6_5",5.05,5.1,-63.639,-63.599,-63.619,17.865,0.38,1.078,15.327,2.897,-0.257
"DSSp1617-6_6",5.1,5.15,-63.599,-63.558,-63.579,18.53,0.378,1.074,15.5,3.119,-0.276
"DSSp1617-6_7",5.15,5.2,-63.558,-63.517,-63.538,18.531,0.389,1.08,15.535,3.19,-0.273
"DSSp1617-6_8",5.2,5.25,-63.517,-63.476,-63.497,15.811,0.228,0.93,13.231,2.791,-0.222
"DSSp1617-6_9",5.25,5.31,-63.476,-63.427,-63.452,1.885,0.179,0.277,1.589,0.298,0.139
"DSSp1617-6_10",5.32,5.37,-63.419,-63.378,-63.399,1.597,0.152,0.246,1.403,0.26,0.124
"DSSp1617-6_11",5.37,5.42,-63.378,-63.338,-63.358,2.919,0.125,0.414,2.5,0.45,0.196
"DSSp1617-6_12",5.42,5.47,-63.338,-63.297,-63.318,9.142,0.149,0.627,8.799,0.772,-0.139
"DSSp1617-6_13",5.47,5.52,-63.297,-63.256,-63.277,4.363,0.132,0.574,3.794,0.694,0.243
"DSSp1617-6_14",5.52,5.57,-63.256,-63.215,-63.236,4.616,0.128,0.472,3.995,0.76,0.124
"DSSp1617-6_15",5.57,5.62,-63.215,-63.175,-63.195,2.494,0.137,0.352,2.202,0.441,0.16
"DSSp1617-6_16",5.62,5.67,-63.175,-63.134,-63.155,2.664,0.13,0.499,2.26,0.446,0.302
"DSSp1617-6_17",5.67,5.72,-63.134,-63.093,-63.114,1.428,0.353,0.701,1.178,0.22,0.598
"DSSp1617-6_18",5.72,5.77,-63.093,-63.052,-63.073,1.219,0.515,0.82,0.916,0.171,0.74
"DSSp1617-6_19",5.77,5.82,-63.052,-63.011,-63.032,0.875,0.606,1.314,0.609,0.123,1.261
"DSSp1617-6_20",5.82,5.86,-63.011,-62.977,-62.994,0.509,0.611,2.203,0.275,0.073,2.179
"DSSp1617-6_21",5.86,5.9,-62.977,-62.941,-62.959,0.394,0.461,0.94,0.266,0.074,0.916
"DSSp1617-7_4",5.925,5.96,-62.919,-62.888,-62.904,0.661,0.823,0.737,0.378,0.086,0.704
"DSSp1617-7_5",5.96,6.01,-62.888,-62.843,-62.866,0.745,0.599,0.727,0.516,0.104,0.682
"DSSp1617-7_6",6.01,6.06,-62.843,-62.798,-62.821,2.976,0.405,0.602,2.371,0.389,0.396
"DSSp1617-7_7",6.06,6.11,-62.798,-62.754,-62.776,3.353,0.294,0.545,2.806,0.548,0.301
"DSSp1617-7_8",6.11,6.16,-62.754,-62.709,-62.732,3.73,0.266,0.556,3.216,0.679,0.276
"DSSp1617-7_9",6.16,6.21,-62.709,-62.665,-62.687,3.895,0.268,0.57,3.337,0.714,0.279
"DSSp1617-7_10",6.21,6.25,-62.665,-62.629,-62.647,4.585,0.182,0.474,3.917,0.72,0.133
"DSSp1617-7_11",6.26,6.31,-62.62,-62.575,-62.598,4.236,0.181,0.411,3.602,0.703,0.098
"DSSp1617-7_12",6.31,6.36,-62.575,-62.531,-62.553,4.561,0.226,0.443,3.836,0.8,0.109
"DSSp1617-7_13",6.36,6.41,-62.531,-62.486,-62.509,6.455,0.265,0.627,5.452,1.114,0.152
"DSSp1617-7_14",6.41,6.46,-62.486,-62.442,-62.464,5.849,0.228,0.67,5.115,0.963,0.224
"DSSp1617-7_15",6.46,6.51,-62.442,-62.397,-62.42,6.689,0.201,0.67,5.799,1.075,0.164
"DSSp1617-7_16",6.51,6.55,-62.397,-62.361,-62.379,4.994,0.225,0.414,4.107,0.842,0.057
"DSSp1617-7_17",6.56,6.61,-62.352,-62.308,-62.33,2.463,0.225,0.287,1.996,0.429,0.113
"DSSp1617-7_18",6.61,6.66,-62.308,-62.263,-62.286,6.778,0.215,1.202,5.927,1.141,0.685
"DSSp1617-7_19",6.66,6.71,-62.263,-62.219,-62.241,6.384,0.261,1.205,5.459,1.029,0.729
"DSSp1617-7_20",6.71,6.76,-62.219,-62.174,-62.197,6.217,0.264,1.184,5.516,1.021,0.703
"DSSp1617-7_21",6.76,6.81,-62.174,-62.129,-62.152,5.486,0.316,1.207,5.026,0.915,0.769
"DSSp1617-7_22",6.81,6.86,-62.129,-62.085,-62.107,3.305,0.283,1.115,2.92,0.517,0.861
"DSSp1617-7_23",6.86,6.9,-62.085,-62.049,-62.067,0.62,0.338,0.975,0.545,0.107,0.928
"DSSp1617-7_24",6.9,6.94,-62.049,-62.013,-62.031,1.398,0.444,1.484,1.146,0.194,1.385
"DSSp1617-7_25",6.94,6.98,-62.013,-61.976,-61.995,0.835,0.365,1.913,0.6,0.14,1.861
"DSSp1617-8_4",7,7.05,-61.956,-61.908,-61.932,3.797,0.228,1.099,3.316,0.61,0.81
"DSSp1617-8_5",7.05,7.1,-61.908,-61.859,-61.883,3.421,0.38,0.969,2.688,0.518,0.735
"DSSp1617-8_6",7.1,7.15,-61.859,-61.811,-61.835,4.179,0.242,0.685,3.51,0.672,0.38
"DSSp1617-8_7",7.15,7.2,-61.811,-61.762,-61.787,4.294,0.314,0.522,3.576,0.664,0.211
"DSSp1617-8_8",7.2,7.25,-61.762,-61.714,-61.738,4.988,0.403,0.708,4.45,3.337,0.32
"DSSp1617-8_9",7.25,7.31,-61.714,-61.656,-61.685,4.375,0.315,0.484,3.581,0.726,0.172
"DSSp1617-8_10",7.32,7.37,-61.646,-61.597,-61.622,1.557,0.362,0.251,1.311,0.255,0.137
"DSSp1617-8_11",7.37,7.42,-61.597,-61.549,-61.573,1.187,0.462,0.279,1.009,0.19,0.191
"DSSp1617-8_12",7.42,7.47,-61.549,-61.5,-61.525,0.508,0.372,0.192,0.451,0.104,0.153
"DSSp1617-8_13",7.47,7.52,-61.5,-61.452,-61.476,2.853,0.231,0.404,2.199,0.478,0.212
"DSSp1617-8_14",7.52,7.57,-61.452,-61.403,-61.428,5.863,0.166,0.774,5.119,0.978,0.328
"DSSp1617-8_15",7.57,7.62,-61.403,-61.355,-61.379,6.622,0.11,0.831,5.972,1.104,0.31
"DSSp1617-8_16",7.62,7.67,-61.355,-61.306,-61.331,2.564,0.15,0.372,2.192,0.403,0.181
"DSSp1617-8_17",7.67,7.72,-61.306,-61.258,-61.282,4.11,0.169,0.631,3.684,0.657,0.31
"DSSp1617-8_18",7.72,7.77,-61.258,-61.21,-61.234,2.728,0.147,0.514,2.417,0.443,0.303
"DSSp1617-8_19",7.77,7.82,-61.21,-61.161,-61.186,1.984,0.299,0.662,1.708,0.376,0.513
"DSSp1617-8_20",7.82,7.86,-61.161,-61.122,-61.142,1.471,0.364,0.622,1.258,0.219,0.513
"DSSp1617-8_21",7.86,7.9,-61.122,-61.083,-61.103,1.676,0.422,0.913,1.385,0.252,0.792
"DSSp1617-8_22",7.9,7.94,-61.083,-61.045,-61.064,1.891,0.495,0.911,1.594,0.351,0.772
"DSSp1617-8_23",7.94,7.98,-61.045,-61.006,-61.026,1.289,0.536,1.029,0.959,0.182,0.946
"DSSp1617-9_4",8,8.05,-60.985,-60.932,-60.959,2.307,0.484,1.285,1.842,0.329,1.125
"DSSp1617-9_5",8.05,8.1,-60.932,-60.879,-60.906,2.772,0.183,0.932,2.466,0.465,0.717
"DSSp1617-9_6",8.1,8.15,-60.879,-60.826,-60.853,1.393,0.151,0.431,1.239,0.237,0.323
"DSSp1617-9_7",8.15,8.2,-60.826,-60.772,-60.799,1.023,0.176,0.368,0.955,0.194,0.285
"DSSp1617-9_8",8.2,8.25,-60.772,-60.719,-60.746,2.21,0.292,0.677,1.864,0.363,0.515
"DSSp1617-9_9",8.25,8.29,-60.719,-60.677,-60.698,2.385,0.334,0.766,1.832,0.404,0.607
"DSSp1617-9_10",8.29,8.33,-60.677,-60.634,-60.656,6.601,0.337,0.978,5.849,1.08,0.469
"DSSp1617-9_11",8.33,8.37,-60.634,-60.591,-60.613,6.671,0.224,0.64,5.881,1.069,0.128
"DSSp1617-9_12",8.385,8.43,-60.576,-60.528,-60.552,8.176,0.21,0.677,7.257,1.247,0.045
"DSSp1617-9_13",8.43,8.48,-60.528,-60.474,-60.501,8.248,0.273,0.898,7.078,1.426,0.282
"DSSp1617-9_14",8.48,8.53,-60.474,-60.421,-60.448,7.463,0.316,0.668,6.487,1.224,0.103
"DSSp1617-9_15",8.53,8.58,-60.421,-60.368,-60.395,8.317,0.206,0.687,7.272,1.352,0.053
"DSSp1617-9_16",8.58,8.63,-60.368,-60.315,-60.342,9.652,0.133,0.76,8.477,1.65,0.021
"DSSp1617-9_17",8.63,8.68,-60.315,-60.262,-60.289,2.826,0.182,0.293,2.193,0.44,0.102
"DSSp1617-9_18",8.68,8.73,-60.262,-60.209,-60.236,3.183,0.28,0.809,2.781,0.532,0.567
"DSSp1617-9_19",8.73,8.78,-60.209,-60.155,-60.182,1.43,0.315,0.669,1.264,0.277,0.558
"DSSp1617-9_20",8.78,8.83,-60.155,-60.102,-60.129,1.795,0.333,0.696,1.573,0.281,0.559
"DSSp1617-9_21",8.83,8.87,-60.102,-60.06,-60.081,2.597,0.333,1.087,2.204,0.401,0.895
"DSSp1617-9_22",8.87,8.91,-60.06,-60.017,-60.039,1.194,0.476,1.537,1.185,0.329,1.434
"DSSp1617-9_23",8.91,8.95,-60.017,-59.985,-60.001,0.826,0.333,1.161,0.599,0.147,1.109
"DSSp1617-9_24",8.95,8.99,-59.985,-59.96,-59.973,0.333,0.415,0.721,0.248,0.071,0.7
"DSSp1617-10_4",9,9.05,-59.954,-59.923,-59.939,2.59,0.611,0.894,2.115,0.314,0.71
"DSSp1617-10_5",9.05,9.1,-59.923,-59.892,-59.908,2.159,0.53,0.829,1.739,0.333,0.677
"DSSp1617-10_6",9.1,9.15,-59.892,-59.861,-59.877,1.764,0.422,0.605,1.382,0.267,0.485
"DSSp1617-10_7",9.15,9.2,-59.861,-59.83,-59.846,1.532,0.373,0.481,1.322,0.265,0.366
"DSSp1617-10_8",9.2,9.25,-59.83,-59.799,-59.815,1.283,0.173,0.471,1.141,0.244,0.372
"DSSp1617-10_9",9.25,9.3,-59.799,-59.768,-59.784,1.929,0.202,0.575,1.746,0.353,0.423
"DSSp1617-10_10",9.3,9.35,-59.768,-59.736,-59.752,4.133,0.162,0.598,3.626,0.674,0.282
"DSSp1617-10_11",9.35,9.4,-59.736,-59.705,-59.721,4.917,0.213,0.634,4.2,0.832,0.268
"DSSp1617-10_12",9.4,9.45,-59.705,-59.674,-59.69,9.932,0.231,1.151,9.009,1.584,0.367
"DSSp1617-10_13",9.45,9.49,-59.674,-59.649,-59.662,5.268,0.221,0.551,4.366,0.875,0.17
"DSSp1617-10_14",9.5,9.55,-59.643,-59.612,-59.628,4.127,0.174,0.427,3.465,0.655,0.126
"DSSp1617-10_15",9.55,9.6,-59.612,-59.581,-59.597,1.07,0.191,0.261,0.927,0.202,0.18
"DSSp1617-10_16",9.6,9.65,-59.581,-59.55,-59.566,1.707,0.263,0.284,1.485,0.29,0.155
"DSSp1617-10_17",9.65,9.7,-59.55,-59.519,-59.535,0.559,0.325,0.181,0.479,0.115,0.139
"DSSp1617-10_18",9.7,9.75,-59.519,-59.488,-59.504,2.911,0.243,0.322,2.497,0.452,0.104
"DSSp1617-10_19",9.75,9.8,-59.488,-59.457,-59.473,3.129,0.233,0.344,2.69,0.499,0.11
"DSSp1617-10_20",9.8,9.85,-59.457,-59.426,-59.442,2.547,0.255,0.271,2.182,0.396,0.08
"DSSp1617-10_21",9.85,9.9,-59.426,-59.395,-59.411,2.522,0.298,0.267,2.107,0.379,0.083
"DSSp1617-10_22",9.9,9.95,-59.395,-59.364,-59.38,2.57,0.298,0.289,2.242,0.415,0.093
"DSSp1617-10_23",9.95,9.99,-59.364,-59.339,-59.352,2.186,0.176,0.264,1.795,0.397,0.107
"DSSp1617-11_4",10,10.05,-59.333,-59.301,-59.317,8.432,0.133,0.877,7.473,1.365,0.226
"DSSp1617-11_5",10.05,10.1,-59.301,-59.27,-59.286,14.117,0.184,1.512,13.047,2.186,0.375
"DSSp1617-11_6",10.1,10.15,-59.27,-59.239,-59.255,3.927,0.25,0.647,3.255,0.842,0.363
"DSSp1617-11_7",10.16,10.2,-59.233,-59.208,-59.221,0.73,0.451,0.291,0.58,0.129,0.241
"DSSp1617-11_8",10.2,10.25,-59.208,-59.177,-59.193,1.314,0.303,0.542,1.09,0.211,0.447
"DSSp1617-11_9",10.25,10.3,-59.177,-59.146,-59.162,0.797,0.39,0.505,0.664,0.136,0.447
"DSSp1617-11_10",10.3,10.35,-59.146,-59.115,-59.131,1.039,0.381,0.599,0.875,0.171,0.522
"DSSp1617-11_11",10.35,10.4,-59.115,-59.084,-59.1,1.802,0.352,0.547,1.562,0.285,0.41
"DSSp1617-11_12",10.4,10.45,-59.084,-59.053,-59.069,0.865,0.232,0.476,0.707,0.145,0.414
"DSSp1617-11_13",10.45,10.5,-59.053,-59.022,-59.038,2.524,0.402,1.049,2.041,0.392,0.871
"DSSp1617-11_14",10.5,10.55,-59.022,-58.989,-59.006,0.726,0.616,0.841,0.41,0.09,0.805
"DSSp1617-11_15",10.55,10.6,-58.989,-58.95,-58.97,1.526,1.026,1.151,0.756,0.137,1.085
"DSSp1617-11_16",10.6,10.65,-58.95,-58.912,-58.931,1.376,0.633,0.892,0.978,0.188,0.806
"DSSp1617-11_17",10.65,10.7,-58.912,-58.874,-58.893,1.201,0.569,0.759,0.744,0.15,0.694
"DSSp1617-11_18",10.7,10.75,-58.874,-58.836,-58.855,1.446,0.895,0.878,1.143,0.231,0.779
"DSSp1617-11_19",10.75,10.8,-58.836,-58.797,-58.817,1.188,1.331,0.62,0.886,0.19,0.543
"DSSp1617-11_20",10.81,10.86,-58.79,-58.752,-58.771,1.098,1.078,0.57,0.845,0.166,0.496
"DSSp1617-11_21",10.86,10.91,-58.752,-58.713,-58.733,1.585,0.322,0.606,1.367,0.32,0.487
"DSSp1617-11_22",10.91,10.95,-58.713,-58.683,-58.698,5.006,0.18,0.793,4.411,0.789,0.409
"DSSp1617-11_23",10.95,10.99,-58.683,-58.652,-58.668,5.769,0.178,0.824,5.347,1.038,0.358
"DSSp1617-12_4",11,11.05,-58.644,-58.606,-58.625,7.699,0.181,0.74,6.722,1.205,0.155
"DSSp1617-12_5",11.05,11.1,-58.606,-58.568,-58.587,8.254,0.202,0.813,7.246,1.357,0.182
"DSSp1617-12_6",11.1,11.15,-58.568,-58.53,-58.549,1.398,0.321,0.294,1.158,0.241,0.193
"DSSp1617-12_7",11.15,11.2,-58.53,-58.492,-58.511,2.793,0.308,0.317,2.402,0.419,0.107
"DSSp1617-12_8",11.2,11.25,-58.492,-58.453,-58.473,4.501,0.25,0.428,3.766,0.718,0.1
"DSSp1617-12_9",11.25,11.3,-58.453,-58.415,-58.434,5.16,0.222,0.512,4.342,0.89,0.134
"DSSp1617-12_10",11.3,11.35,-58.415,-58.377,-58.396,11.295,0.168,0.703,9.307,2.042,-0.107
"DSSp1617-12_11",11.35,11.4,-58.377,-58.339,-58.358,5.061,0.112,0.384,4.137,1.069,0.024
"DSSp1617-12_12",11.4,11.45,-58.339,-58.3,-58.32,1.783,0.14,0.297,1.445,0.338,0.171
"DSSp1617-12_13",11.45,11.5,-58.3,-58.262,-58.281,2.734,0.109,0.32,2.353,0.431,0.115
"DSSp1617-12_14",11.5,11.54,-58.262,-58.232,-58.247,2.272,0.117,0.344,1.992,0.343,0.171
"DSSp1617-12_15",11.55,11.6,-58.224,-58.186,-58.205,2.758,0.193,0.392,2.404,0.436,0.182
"DSSp1617-12_16",11.6,11.65,-58.186,-58.148,-58.167,1.433,0.216,0.249,1.22,0.24,0.143
"DSSp1617-12_17",11.65,11.7,-58.148,-58.109,-58.129,8.052,0.165,1.07,7.148,1.337,0.447
"DSSp1617-12_18",11.7,11.75,-58.109,-58.071,-58.09,5.466,0.178,1.067,4.892,1.014,0.641
"DSSp1617-12_19",11.75,11.8,-58.071,-58.033,-58.052,1.115,0.405,1.053,0.932,0.187,0.972
"DSSp1617-12_20",11.8,11.84,-58.033,-58.002,-58.018,1.028,0.566,1.07,0.558,0.122,1.021
"DSSp1617-12_21",11.84,11.88,-58.002,-57.958,-57.98,0.857,0.367,1.228,0.582,0.132,1.178
"DSSp1617-12_22",11.88,11.92,-57.958,-57.913,-57.936,1.416,0.569,1.201,1.127,0.224,1.103
"DSSp1617-13_4",11.93,11.98,-57.902,-57.845,-57.874,3.273,0.318,0.738,2.911,0.505,0.485
